pick_up,chi-square,v-cramer,LocationID
,0.5073,0.0004,1.0
,0.2357,0.0006,2.0
,0.9522,0.0,3.0
,0.0193,0.0012,4.0
,0.0935,0.0009,5.0
,0.4685,0.0004,6.0
,0.0,0.0165,7.0
,0.0043,0.0015,8.0
,0.0758,0.0009,9.0
,0.0,0.0057,10.0
,0.0819,0.0009,11.0
,0.0002,0.002,12.0
,0.0,0.0307,13.0
,0.0,0.003,14.0
,0.0044,0.0015,15.0
,0.2985,0.0006,16.0
,0.0,0.0044,17.0
,0.374,0.0005,18.0
,0.0049,0.0015,19.0
,0.509,0.0003,20.0
,0.0008,0.0018,21.0
,0.0007,0.0018,22.0
,0.8474,0.0001,23.0
,0.0,0.0049,24.0
,0.5473,0.0003,25.0
,0.0,0.0029,26.0
,0.0003,0.0019,28.0
,0.0551,0.001,29.0
,0.7797,0.0001,30.0
,0.4527,0.0004,31.0
,0.1032,0.0009,32.0
,0.0,0.004,33.0
,0.4869,0.0004,34.0
,0.0001,0.002,35.0
,0.9572,0.0,36.0
,0.0,0.0022,37.0
,0.0266,0.0012,38.0
,0.0395,0.0011,39.0
,0.0098,0.0014,40.0
,0.0,0.0202,41.0
,0.0,0.0196,42.0
,0.0,0.0043,43.0
,0.0012,0.0017,44.0
,0.0458,0.0011,45.0
,0.6646,0.0002,46.0
,0.1169,0.0008,47.0
,0.0,0.0168,48.0
,0.0,0.0029,49.0
,0.0,0.0038,50.0
,0.9126,0.0001,51.0
,0.0,0.0034,52.0
,0.0009,0.0018,53.0
,0.1219,0.0008,54.0
,0.4831,0.0004,55.0
,0.0263,0.0012,56.0
,0.6166,0.0003,57.0
,0.3337,0.0005,58.0
,0.0177,0.0013,59.0
,0.0208,0.0012,60.0
,0.0,0.0037,61.0
,0.0,0.0034,62.0
,0.2403,0.0006,63.0
,0.0019,0.0016,64.0
,0.0,0.0032,65.0
,0.0,0.0047,66.0
,0.0004,0.0019,67.0
,0.0,0.0037,68.0
,0.0,0.0034,69.0
,0.0009,0.0018,70.0
,0.001,0.0017,71.0
,0.0002,0.002,72.0
,0.1004,0.0009,73.0
,0.0,0.0268,74.0
,0.0,0.027,75.0
,0.0,0.0032,76.0
,0.0353,0.0011,77.0
,0.0031,0.0016,78.0
,0.1027,0.0009,79.0
,0.07,0.001,80.0
,0.1392,0.0008,81.0
,0.0,0.0057,82.0
,0.0,0.0049,83.0
,0.3719,0.0005,84.0
,0.0,0.0025,85.0
,0.3286,0.0005,86.0
,0.0,0.031,87.0
,0.0,0.0206,88.0
,0.0,0.0032,89.0
,0.0,0.0092,90.0
,0.0,0.0024,91.0
,0.0,0.0022,92.0
,0.0,0.0092,93.0
,0.0644,0.001,94.0
,0.0,0.0046,95.0
,0.2206,0.0006,96.0
,0.0,0.004,97.0
,0.0003,0.0019,98.0
,0.4017,0.0004,99.0
,0.0,0.0156,100.0
,0.003,0.0016,101.0
,0.2109,0.0007,102.0
,0.0787,0.0009,105.0
,0.9417,0.0,106.0
,0.0,0.004,107.0
,0.3849,0.0005,108.0
,0.2357,0.0006,109.0
,0.3719,0.0005,111.0
,0.1076,0.0009,112.0
,0.0,0.0027,113.0
,0.0,0.006,114.0
,0.3339,0.0005,115.0
,0.0,0.0088,116.0
,0.9572,0.0,117.0
,0.9342,0.0,118.0
,0.0,0.0022,119.0
,0.0339,0.0011,120.0
,0.0621,0.001,121.0
,0.0202,0.0012,122.0
,0.013,0.0013,123.0
,0.0009,0.0018,124.0
,0.0,0.0064,125.0
,0.0039,0.0015,126.0
,0.0,0.0025,127.0
,0.0855,0.0009,128.0
,0.0,0.0107,129.0
,0.0009,0.0018,130.0
,0.0001,0.002,131.0
,0.0,0.0593,132.0
,0.0019,0.0016,133.0
